"time","channel","station","value","g1","g2","g3","g4","g5","g6"
"119","Vertical_up","BK.BKS",-5.44600296814443e-08,-2.74584850575171e-09,-1.94988403842966e-09,7.08931314590126e-10,-4.41326968653298e-09,8.77650033070215e-10,7.3351979595151e-10
"120","Vertical_up","BK.BKS",-8.91270908581265e-08,-2.75875974629527e-09,-1.82792339470144e-09,8.12922320685574e-10,-5.16107442262226e-09,1.44844497179902e-09,1.21057713225883e-09
"121","Vertical_up","BK.BKS",-1.21086068460541e-07,-2.6129988645908e-09,-1.59172214087039e-09,9.04929353309942e-10,-5.66252614456639e-09,1.956908896549e-09,1.63553963471164e-09
"122","Vertical_up","BK.BKS",-1.4417051605428e-07,-2.31469374479976e-09,-1.25235912765822e-09,9.69293159060154e-10,-5.89017394025004e-09,2.36214561064894e-09,1.97422719881826e-09
"123","Vertical_up","BK.BKS",-1.56461820109062e-07,-1.88304661351827e-09,-8.29809465385832e-10,9.94201470700984e-10,-5.8397325124598e-09,2.63387695929893e-09,2.20133403628753e-09
"124","Vertical_up","BK.BKS",-1.565200098047e-07,-1.34739168275694e-09,-3.50377783911079e-10,9.71783401676955e-10,-5.52799954956804e-09,2.75462069563806e-09,2.30224888560631e-09
"125","Vertical_up","BK.BKS",-1.45135227998407e-07,-7.43702193389578e-10,1.56151496755967e-10,8.98046029846439e-10,-4.98928931638774e-09,2.7207345612476e-09,2.27392763061048e-09
"126","Vertical_up","BK.BKS",-1.2607993728134e-07,-1.11113680889502e-10,6.59225028018908e-10,7.73113624573203e-10,-4.27118622999146e-09,2.54190078914648e-09,2.1244624598955e-09
"127","Vertical_up","BK.BKS",-1.03206984630757e-07,5.11254137736243e-10,1.12988278942099e-09,6.01654272463529e-10,-3.4300212984211e-09,2.23900067121856e-09,1.87130547895296e-09
"128","Vertical_up","BK.BKS",-7.77067360399741e-08,1.08716210217404e-09,1.54276180355886e-09,3.92913071816324e-10,-2.52609812857586e-09,1.84086113057871e-09,1.53854956987067e-09
"129","Vertical_up","BK.BKS",-4.77358923529441e-08,1.58584691445021e-09,1.87778404960521e-09,1.59820322752883e-10,-1.61866183962652e-09,1.38068219322177e-09,1.15394255396205e-09
"130","Vertical_up","BK.BKS",-1.25114449057868e-08,1.9842316894141e-09,2.12147031684562e-09,-8.28144311012381e-11,-7.60927276443219e-10,8.92855729324832e-10,7.46228368609987e-10
"131","Vertical_up","BK.BKS",2.41817274641838e-08,2.26843460200356e-09,2.26768827942775e-09,-3.20421407915857e-10,4.13802743141155e-12,4.10433527882474e-10,3.43030942038288e-10
"132","Vertical_up","BK.BKS",5.80100209020917e-08,2.43423498146124e-09,2.31763005420311e-09,-5.40315559731345e-10,6.46522567144282e-10,-3.6951403175979e-11,-3.08831364398725e-11
"133","Vertical_up","BK.BKS",8.99004755187139e-08,2.48638094829006e-09,2.27897148612052e-09,-7.32392337757021e-10,1.14999341009849e-09,-4.24974447733315e-10,-3.55183909804522e-10
"134","Vertical_up","BK.BKS",1.18845774680606e-07,2.43696244832254e-09,2.16439989577507e-09,-8.89004899395312e-10,1.51123837837741e-09,-7.36284760856653e-10,-6.15369939264357e-10
"135","Vertical_up","BK.BKS",1.38700998495511e-07,2.30332388659212e-09,1.98986653646164e-09,-1.00466076743506e-09,1.73798188002793e-09,-9.61632941864521e-10,-8.03710787577993e-10
"136","Vertical_up","BK.BKS",1.45017035666798e-07,2.10599488554381e-09,1.7729171094221e-09,-1.07614499508325e-09,1.84676843372328e-09,-1.10010340760708e-09,-9.19441231319306e-10
"137","Vertical_up","BK.BKS",1.40940901203322e-07,1.86687638510976e-09,1.53127898029803e-09,-1.10309658872425e-09,1.86073865648515e-09,-1.15824918445901e-09,-9.68038139841788e-10
"138","Vertical_up","BK.BKS",1.27606178801223e-07,1.60763250085011e-09,1.28167601997718e-09,-1.08849014917247e-09,1.80728401231939e-09,-1.14826787980469e-09,-9.59695994023422e-10
"139","Vertical_up","BK.BKS",1.02728543006752e-07,1.34813745905076e-09,1.03876360110897e-09,-1.03842122598584e-09,1.71534072827881e-09,-1.08576410125597e-09,-9.0745676749839e-10
"140","Vertical_up","BK.BKS",6.66863729778098e-08,1.10496660259899e-09,8.1416639349662e-10,-9.61039773901118e-10,1.61235808928349e-09,-9.87766462287121e-10,-8.25552585385282e-10
"141","Vertical_up","BK.BKS",2.81581888174e-08,8.90144822988641e-10,6.15751537284173e-10,-8.6502871278142e-10,1.52138898117137e-09,-8.71316133124933e-10,-7.28226067448831e-10
"142","Vertical_up","BK.BKS",-4.89936821737948e-09,7.10461716095587e-10,4.47332157151501e-10,-7.58317543716851e-10,1.45893661563271e-09,-7.52434887994303e-10,-6.28867845623636e-10
